Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
729705432.069569,0.500132,1.510756,73.214864,-0.0383,-0.001572,0.994263,-0.007378,-0.016299,0.030076,88.430847,35.529251,-149.760956,,,
729705432.072845,0.500132,1.510756,73.214864,-0.0383,-0.001572,0.994263,-0.007378,-0.016299,0.030076,88.430847,35.529251,-149.760956,,,
729705432.076224,0.49856,1.504291,73.224451,-0.0383,-0.001572,0.994263,-0.007378,-0.016299,0.030076,88.430847,35.529251,-149.760956,,,
729705432.079404,0.495986,1.499761,73.235137,-0.031342,0.001495,0.994492,-0.01103,-0.006082,0.034837,88.430847,35.529251,-149.760956,,,
729705432.082851,0.495986,1.499761,73.235137,-0.031342,0.001495,0.994492,-0.01103,-0.006082,0.034837,88.430847,35.529251,-149.760956,,,
729705432.086123,0.494247,1.496116,73.245258,-0.031342,0.001495,0.994492,-0.01103,-0.006082,0.034837,88.430847,35.529251,-149.760956,,,
729705432.089488,0.48954,1.495379,73.254574,-0.025391,0.008072,0.995651,-0.021233,0.004717,0.028913,88.120499,35.619446,-149.548752,,,
729705432.092858,0.48954,1.495379,73.254574,-0.025391,0.008072,0.995651,-0.021233,0.004717,0.028913,88.120499,35.619446,-149.548752,,,
729705432.096188,0.484043,1.49791,73.263436,-0.025391,0.008072,0.995651,-0.021233,0.004717,0.028913,88.120499,35.619446,-149.548752,,,
729705432.099487,0.484043,1.498359,73.271065,-0.023666,0.015503,0.991806,-0.032965,0.004007,0.019587,88.120499,35.619446,-149.548752,,,
729705432.102829,0.475655,1.498359,73.271065,-0.023666,0.015503,0.991806,-0.032965,0.004007,0.019587,88.120499,35.619446,-149.548752,,,
729705432.106171,0.466135,1.500651,73.277379,-0.023666,0.015503,0.991806,-0.032965,0.004007,0.019587,88.120499,35.619446,-149.548752,,,
729705432.109421,0.466135,1.500651,73.277379,-0.023666,0.015503,0.991806,-0.049741,-0.008051,0.014308,88.120499,35.619446,-149.548752,,,
729705432.112848,0.453834,1.498013,73.282997,-0.022644,0.015472,0.98732,-0.049741,-0.008051,0.014308,88.120499,35.619446,-149.548752,,,
729705432.116178,0.440904,1.496274,73.287734,-0.022644,0.015472,0.98732,-0.049741,-0.008051,0.014308,88.120499,35.619446,-149.548752,,,
729705432.119566,0.425222,1.491453,73.291194,-0.019119,0.013702,0.984589,-0.056793,-0.01637,0.004727,88.120499,35.619446,-149.548752,,,
729705432.122846,0.425222,1.491453,73.291194,-0.019119,0.013702,0.984589,-0.056793,-0.01637,0.004727,88.120499,35.619446,-149.548752,,,
729705432.126166,0.41042,1.487538,73.293458,-0.019119,0.013702,0.984589,-0.056793,-0.01637,0.004727,88.120499,35.619446,-149.548752,,,
729705432.129537,0.41042,1.480342,73.295178,-0.019119,0.013702,0.984589,-0.057688,-0.025738,0.000379,88.120499,35.619446,-149.548752,,,
729705432.132956,0.394297,1.480342,73.295178,-0.017227,0.011856,0.986115,-0.057688,-0.025738,0.000379,88.32283,35.761353,-149.345535,,,
729705432.136165,0.378648,1.473177,73.296425,-0.017227,0.011856,0.986115,-0.057688,-0.025738,0.000379,88.32283,35.761353,-149.345535,,,
729705432.139546,0.378648,1.473177,73.296425,-0.017227,0.011856,0.986115,-0.057688,-0.025738,0.000379,88.32283,35.761353,-149.345535,,,
729705432.142844,0.362087,1.463337,73.296874,-0.015717,0.011017,0.983643,-0.053962,-0.035386,-0.003817,88.32283,35.761353,-149.345535,,,
729705432.146201,0.345461,1.454538,73.29623,-0.015717,0.011017,0.983643,-0.053962,-0.035386,-0.003817,88.32283,35.761353,-149.345535,,,
729705432.149528,0.345461,1.443211,73.294628,-0.015717,0.011017,0.983643,-0.053962,-0.035386,-0.003817,88.32283,35.761353,-149.345535,,,
729705432.152861,0.329944,1.443211,73.294628,-0.014084,0.0056,0.985992,-0.049789,-0.035175,-0.006766,88.32283,35.761353,-149.345535,,,
729705432.156177,0.313345,1.434358,73.293077,-0.014084,0.0056,0.985992,-0.049789,-0.035175,-0.006766,88.32283,35.761353,-149.345535,,,
729705432.15954,0.313345,1.424748,73.291993,-0.014084,0.0056,0.985992,-0.049634,-0.025736,-0.003356,88.32283,35.761353,-149.345535,,,
729705432.162864,0.298807,1.424748,73.291993,-0.016052,0.000275,0.987991,-0.049634,-0.025736,-0.003356,88.32283,35.761353,-149.345535,,,
729705432.166172,0.284447,1.417236,73.291225,-0.016052,0.000275,0.987991,-0.049634,-0.025736,-0.003356,88.32283,35.761353,-149.345535,,,
729705432.169532,0.284447,1.417236,73.291225,-0.016052,0.000275,0.987991,-0.049634,-0.025736,-0.003356,88.32283,35.761353,-149.345535,,,
729705432.172939,0.269773,1.411375,73.291788,-0.016434,-0.004395,0.99176,-0.049874,-0.012758,0.002184,87.986038,35.78894,-149.407364,,,
729705432.176164,0.256233,1.407243,73.293789,-0.016434,-0.004395,0.99176,-0.049874,-0.012758,0.002184,87.986038,35.78894,-149.407364,,,
729705432.179526,0.256233,1.407243,73.293789,-0.016434,-0.004395,0.99176,-0.049874,-0.012758,0.002184,87.986038,35.78894,-149.407364,,,
729705432.182936,0.24042,1.406269,73.296606,-0.017181,-0.004883,0.992767,-0.058072,0.007416,0.010045,87.986038,35.78894,-149.407364,,,
729705432.18616,0.225428,1.408614,73.299735,-0.017181,-0.004883,0.992767,-0.058072,0.007416,0.010045,87.986038,35.78894,-149.407364,,,
729705432.189549,0.225428,1.408614,73.299735,-0.017181,-0.004883,0.992767,-0.058072,0.007416,0.010045,87.986038,35.78894,-149.407364,,,
729705432.192849,0.206315,1.413423,73.302914,-0.019226,-0.003571,0.994308,-0.069869,0.023563,0.006882,87.986038,35.78894,-149.407364,,,
729705432.196172,0.187926,1.41902,73.306132,-0.019226,-0.003571,0.994308,-0.069869,0.023563,0.006882,87.986038,35.78894,-149.407364,,,
