Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
729862827.481644,-1.517293,-2.646117,-161.786874,0.052292,-0.037888,1.006332,0.033952,0.033578,-0.010609,51.571274,32.382111,-142.529709,,,
729862827.484959,-1.507539,-2.637134,-161.788769,0.048218,-0.038757,0.998734,0.033952,0.033578,-0.010609,51.571274,32.382111,-142.529709,,,
729862827.488308,-1.507539,-2.637134,-161.788769,0.048218,-0.038757,0.998734,0.033952,0.033578,-0.010609,51.571274,32.382111,-142.529709,,,
729862827.49162,-1.499596,-2.628971,-161.790415,0.048218,-0.038757,0.998734,0.024636,0.034247,-0.008248,51.571274,32.382111,-142.529709,,,
729862827.494957,-1.492491,-2.619621,-161.79218,0.046494,-0.030334,0.990723,0.024636,0.034247,-0.008248,51.571274,32.382111,-142.529709,,,
729862827.498293,-1.492491,-2.619621,-161.79218,0.046494,-0.030334,0.990723,0.024636,0.034247,-0.008248,51.834885,32.245193,-142.694412,,,
729862827.501651,-1.488271,-2.612857,-161.794247,0.046494,-0.030334,0.990723,0.011794,0.016296,-0.012183,51.834885,32.245193,-142.694412,,,
729862827.50496,-1.484569,-2.60796,-161.79689,0.044449,-0.021362,0.977966,0.011794,0.016296,-0.012183,51.834885,32.245193,-142.694412,,,
729862827.508286,-1.484569,-2.60796,-161.79689,0.044449,-0.021362,0.977966,0.011794,0.016296,-0.012183,51.834885,32.245193,-142.694412,,,
729862827.51164,-1.485343,-2.606316,-161.80041,0.044449,-0.021362,0.977966,-0.012678,-0.000928,-0.017451,51.834885,32.245193,-142.694412,,,
729862827.51496,-1.487557,-2.607013,-161.804568,0.046783,-0.014496,0.967804,-0.012678,-0.000928,-0.017451,51.834885,32.245193,-142.694412,,,
729862827.518356,-1.487557,-2.607013,-161.804568,0.046783,-0.014496,0.967804,-0.012678,-0.000928,-0.017451,51.834885,32.245193,-142.694412,,,
729862827.521629,-1.494577,-2.609544,-161.809599,0.046783,-0.014496,0.967804,-0.028424,-0.01229,-0.01621,51.834885,32.245193,-142.694412,,,
729862827.525015,-1.501615,-2.613405,-161.814895,0.047241,-0.014969,0.968719,-0.028424,-0.01229,-0.01621,51.834885,32.245193,-142.694412,,,
729862827.528042,-1.501615,-2.613405,-161.814895,0.047241,-0.014969,0.968719,-0.028424,-0.01229,-0.01621,51.834885,32.245193,-142.694412,,,
729862827.53173,-1.514956,-2.617784,-161.819323,0.047241,-0.014969,0.968719,-0.037691,-0.013368,-0.006288,51.834885,32.245193,-142.694412,,,
729862827.535026,-1.525457,-2.621919,-161.821841,0.039078,-0.018677,0.973526,-0.037691,-0.013368,-0.006288,51.834885,32.245193,-142.694412,,,
729862827.538314,-1.525457,-2.621919,-161.821841,0.039078,-0.018677,0.973526,-0.037691,-0.013368,-0.006288,51.834885,32.245193,-142.694412,,,
729862827.541655,-1.541525,-2.627684,-161.82189,0.039078,-0.018677,0.973526,-0.038743,-0.010092,0.006863,51.898956,32.218597,-142.628937,,,
729862827.544957,-1.553472,-2.631144,-161.820076,0.034103,-0.021652,0.978806,-0.038743,-0.010092,0.006863,51.898956,32.218597,-142.628937,,,
729862827.548325,-1.553472,-2.631144,-161.820076,0.034103,-0.021652,0.978806,-0.038743,-0.010092,0.006863,51.898956,32.218597,-142.628937,,,
729862827.551628,-1.568527,-2.635083,-161.817096,0.034103,-0.021652,0.978806,-0.036603,0.001211,0.013355,51.898956,32.218597,-142.628937,,,
729862827.554961,-1.579576,-2.635643,-161.813413,0.041336,-0.024155,0.992081,-0.036603,0.001211,0.013355,51.898956,32.218597,-142.628937,,,
729862827.558408,-1.579576,-2.635643,-161.813413,0.041336,-0.024155,0.992081,-0.036603,0.001211,0.013355,51.898956,32.218597,-142.628937,,,
729862827.561632,-1.590299,-2.636313,-161.809678,0.041336,-0.024155,0.992081,-0.008817,0.001599,0.007848,51.898956,32.218597,-142.628937,,,
729862827.565012,-1.594364,-2.636491,-161.806776,0.054733,-0.025177,1.008392,-0.008817,0.001599,0.007848,51.898956,32.218597,-142.628937,,,
729862827.568292,-1.594364,-2.636491,-161.806776,0.054733,-0.025177,1.008392,-0.008817,0.001599,0.007848,51.898956,32.218597,-142.628937,,,
729862827.571732,-1.594731,-2.638544,-161.805566,0.054733,-0.025177,1.008392,0.029522,-0.007732,-0.005139,51.898956,32.218597,-142.628937,,,
729862827.574965,-1.587693,-2.641228,-161.805893,0.057877,-0.023224,1.018539,0.029522,-0.007732,-0.005139,51.898956,32.218597,-142.628937,,,
729862827.578318,-1.587693,-2.641228,-161.805893,0.057877,-0.023224,1.018539,0.029522,-0.007732,-0.005139,51.898956,32.218597,-142.628937,,,
729862827.581647,-1.57673,-2.645192,-161.806684,0.057877,-0.023224,1.018539,0.049373,-0.013151,-0.005474,51.767197,32.172318,-142.7677,,,
729862827.584961,-1.563179,-2.650022,-161.80723,0.048309,-0.023178,1.011703,0.049373,-0.013151,-0.005474,51.767197,32.172318,-142.7677,,,
729862827.588311,-1.563179,-2.650022,-161.80723,0.048309,-0.023178,1.011703,0.049373,-0.013151,-0.005474,51.767197,32.172318,-142.7677,,,
729862827.591629,-1.548228,-2.653662,-161.807711,0.048309,-0.023178,1.011703,0.039255,-0.001072,-0.000491,51.767197,32.172318,-142.7677,,,
729862827.594963,-1.537072,-2.655326,-161.807671,0.046402,-0.019943,0.997925,0.039255,-0.001072,-0.000491,51.767197,32.172318,-142.7677,,,
729862827.598284,-1.537072,-2.655326,-161.807671,0.046402,-0.019943,0.997925,0.039255,-0.001072,-0.000491,51.767197,32.172318,-142.7677,,,
729862827.601627,-1.52517,-2.65452,-161.807247,0.046402,-0.019943,0.997925,0.017245,0.017392,-0.004932,51.767197,32.172318,-142.7677,,,
729862827.604957,-1.519301,-2.650498,-161.807458,0.048691,-0.014755,0.988632,0.017245,0.017392,-0.004932,51.767197,32.172318,-142.7677,,,
729862827.608288,-1.519301,-2.650498,-161.807458,0.048691,-0.014755,0.988632,0.017245,0.017392,-0.004932,51.767197,32.172318,-142.7677,,,
729862827.611722,-1.516365,-2.645412,-161.808873,0.048691,-0.014755,0.988632,-0.01808,0.026206,-0.007948,51.767197,32.172318,-142.7677,,,
729862827.614954,-1.520415,-2.638662,-161.811283,0.046005,-0.011017,0.977371,-0.01808,0.026206,-0.007948,51.767197,32.172318,-142.7677,,,
729862827.618307,-1.520415,-2.638662,-161.811283,0.046005,-0.011017,0.977371,-0.01808,0.026206,-0.007948,51.767197,32.172318,-142.7677,,,
729862827.621645,-1.526463,-2.628278,-161.814301,0.046005,-0.011017,0.977371,-0.032956,0.040188,-0.011311,51.699768,32.159012,-142.68042,,,
729862827.624995,-1.535443,-2.618381,-161.817441,0.037918,-0.020401,0.989777,-0.032956,0.040188,-0.011311,51.699768,32.159012,-142.68042,,,
729862827.628298,-1.535443,-2.618381,-161.817441,0.037918,-0.020401,0.989777,-0.032956,0.040188,-0.011311,51.699768,32.159012,-142.68042,,,
729862827.631635,-1.543722,-2.605196,-161.819387,0.037918,-0.020401,0.989777,-0.023057,0.034053,-0.005166,51.699768,32.159012,-142.68042,,,
729862827.634957,-1.551017,-2.59576,-161.820121,0.034485,-0.03096,1.006195,-0.023057,0.034053,-0.005166,51.699768,32.159012,-142.68042,,,
729862827.63835,-1.551017,-2.59576,-161.820121,0.034485,-0.03096,1.006195,-0.023057,0.034053,-0.005166,51.699768,32.159012,-142.68042,,,
729862827.641618,-1.554338,-2.588228,-161.820922,0.034485,-0.03096,1.006195,0.00433,0.015126,-0.00658,51.699768,32.159012,-142.68042,,,
729862827.644961,-1.554754,-2.583606,-161.822292,0.038651,-0.035583,1.011795,0.00433,0.015126,-0.00658,51.699768,32.159012,-142.68042,,,
729862827.648301,-1.554754,-2.583606,-161.822292,0.038651,-0.035583,1.011795,0.00433,0.015126,-0.00658,51.699768,32.159012,-142.68042,,,
729862827.651524,-1.550769,-2.585812,-161.824324,0.038651,-0.035583,1.011795,0.023197,-0.011803,-0.010267,51.699768,32.159012,-142.68042,,,
729862827.654977,-1.544789,-2.588639,-161.826702,0.0383,-0.033493,1.010605,0.023197,-0.011803,-0.010267,51.699768,32.159012,-142.68042,,,
729862827.658313,-1.544789,-2.588639,-161.826702,0.0383,-0.033493,1.010605,0.023197,-0.011803,-0.010267,51.699768,32.159012,-142.68042,,,
729862827.661635,-1.536672,-2.59615,-161.82883,0.0383,-0.033493,1.010605,0.029959,-0.017933,-0.007252,51.597626,32.340652,-142.441895,,,
729862827.664961,-1.528293,-2.601837,-161.830283,0.040421,-0.03125,1.003616,0.029959,-0.017933,-0.007252,51.597626,32.340652,-142.441895,,,
729862827.668304,-1.528293,-2.601837,-161.830283,0.040421,-0.03125,1.003616,0.029959,-0.017933,-0.007252,51.597626,32.340652,-142.441895,,,
729862827.671638,-1.518436,-2.607169,-161.831273,0.040421,-0.03125,1.003616,0.031517,-0.010215,-0.004288,51.597626,32.340652,-142.441895,,,
729862827.67496,-1.509658,-2.611307,-161.831797,0.044373,-0.028809,1.000305,0.031517,-0.010215,-0.004288,51.597626,32.340652,-142.441895,,,
729862827.678372,-1.509658,-2.611307,-161.831797,0.044373,-0.028809,1.000305,0.031517,-0.010215,-0.004288,51.597626,32.340652,-142.441895,,,
729862827.681637,-1.499235,-2.613414,-161.832165,0.044373,-0.028809,1.000305,0.033639,0.004955,-0.002318,51.597626,32.340652,-142.441895,,,
729862827.684958,-1.490496,-2.611862,-161.832537,0.047302,-0.024857,1.001266,0.033639,0.004955,-0.002318,51.597626,32.340652,-142.441895,,,
729862827.688316,-1.490496,-2.611862,-161.832537,0.047302,-0.024857,1.001266,0.033639,0.004955,-0.002318,51.597626,32.340652,-142.441895,,,
729862827.69162,-1.478007,-2.608377,-161.832074,0.047302,-0.024857,1.001266,0.040824,0.03035,0.002513,51.597626,32.340652,-142.441895,,,
729862827.694954,-1.466521,-2.601297,-161.830345,0.044861,-0.02652,1.006332,0.040824,0.03035,0.002513,51.597626,32.340652,-142.441895,,,
729862827.698301,-1.466521,-2.601297,-161.830345,0.044861,-0.02652,1.006332,0.040824,0.03035,0.002513,51.597626,32.340652,-142.441895,,,
729862827.701637,-1.451301,-2.591801,-161.828181,0.044861,-0.02652,1.006332,0.044502,0.04004,0.002561,51.597626,32.340652,-142.441895,,,
729862827.704954,-1.439211,-2.580595,-161.826035,0.045303,-0.023682,1.002762,0.044502,0.04004,0.002561,51.450546,32.283264,-142.460037,,,
729862827.708315,-1.439211,-2.580595,-161.826035,0.045303,-0.023682,1.002762,0.044502,0.04004,0.002561,51.450546,32.283264,-142.460037,,,
729862827.711672,-1.427732,-2.567322,-161.824528,0.045303,-0.023682,1.002762,0.031704,0.038597,-0.001999,51.450546,32.283264,-142.460037,,,
729862827.715091,-1.418148,-2.557348,-161.823923,0.044861,-0.015076,0.988373,0.031704,0.038597,-0.001999,51.450546,32.283264,-142.460037,,,
729862827.718317,-1.418148,-2.557348,-161.823923,0.044861,-0.015076,0.988373,0.031704,0.038597,-0.001999,51.450546,32.283264,-142.460037,,,
729862827.721656,-1.413306,-2.546897,-161.823926,0.044861,-0.015076,0.988373,0.009438,0.011866,-0.002553,51.450546,32.283264,-142.460037,,,
729862827.72507,-1.409998,-2.542529,-161.824349,0.041672,-0.014313,0.974045,0.009438,0.011866,-0.002553,51.450546,32.283264,-142.460037,,,
729862827.728359,-1.409998,-2.542529,-161.824349,0.041672,-0.014313,0.974045,0.009438,0.011866,-0.002553,51.450546,32.283264,-142.460037,,,
729862827.731641,-1.411806,-2.540893,-161.82486,0.041672,-0.014313,0.974045,-0.009574,-0.014913,-0.005406,51.450546,32.283264,-142.460037,,,
729862827.734976,-1.414623,-2.544594,-161.825618,0.037003,-0.013046,0.967453,-0.009574,-0.014913,-0.005406,51.450546,32.283264,-142.460037,,,
729862827.738317,-1.414623,-2.544594,-161.825618,0.037003,-0.013046,0.967453,-0.009574,-0.014913,-0.005406,51.450546,32.283264,-142.460037,,,
729862827.741638,-1.421463,-2.55012,-161.825788,0.037003,-0.013046,0.967453,-0.021556,-0.030951,-0.000713,51.450546,32.283264,-142.460037,,,
729862827.744967,-1.427594,-2.559475,-161.825508,0.038559,-0.016251,0.977005,-0.021556,-0.030951,-0.000713,51.451065,32.349213,-142.509613,,,
729862827.74831,-1.427594,-2.559475,-161.825508,0.038559,-0.016251,0.977005,-0.021556,-0.030951,-0.000713,51.451065,32.349213,-142.509613,,,
729862827.751634,-1.435506,-2.569166,-161.825156,0.038559,-0.016251,0.977005,-0.02252,-0.034199,0.004539,51.451065,32.349213,-142.509613,,,
729862827.754965,-1.442208,-2.579594,-161.824071,0.041428,-0.019806,0.989655,-0.02252,-0.034199,0.004539,51.451065,32.349213,-142.509613,,,
729862827.758291,-1.442208,-2.579594,-161.824071,0.041428,-0.019806,0.989655,-0.02252,-0.034199,0.004539,51.451065,32.349213,-142.509613,,,
729862827.761663,-1.448452,-2.588349,-161.822226,0.041428,-0.019806,0.989655,-0.013023,-0.019729,0.006036,51.451065,32.349213,-142.509613,,,
729862827.764969,-1.452566,-2.594935,-161.820193,0.045303,-0.026138,1.005783,-0.013023,-0.019729,0.006036,51.451065,32.349213,-142.509613,,,
729862827.768356,-1.452566,-2.594935,-161.820193,0.045303,-0.026138,1.005783,-0.013023,-0.019729,0.006036,51.451065,32.349213,-142.509613,,,
